english,japanese,exampleEn,exampleJa
qualitative,（性）質上の; 質的な,The appreciation of art involves making qualitative judgements.,芸術鑑賞で重要な要素は質的評価だ。
equitable,公平な; 正当な,The manager found an equitable solution to the employees' disagreement.,マネージャーは従業員間の争いに公平な解決法を見いだした。
algae,藻; 藻類,Algae are becoming increasingly important to scientific research.,藻類は科学の研究にますます重要になってきている。
manoeuvre,巧妙な手段; 策略,The mayor was elected as a result of political manoeuvres.,市長は政治的策略の結果選出された。
sediment,堆積物; 沈殿物,The researcher found a rare fossil in the ocean floor sediment.,その研究者は海底の堆積物に希少な化石を発見した。
vicinity,近隣; 近辺,There are many restaurants in the vicinity of the Eiffel Tower.,エッフェル塔付近にはたくさんのレストランがある。
undue,必要以上の; 過度の,Even successful policies can receive undue media criticism.,成功している政策でもメディアから過度の批判を受けることがある。
homogeneous,同種の; 均質の,Japan is often described as a homogeneous society.,日本はしばしば均質的な社会だと言われる。
irresistible,抵抗できない; 抑えられない,The new student found the social pressure to drink irresistible.,その新入生は飲酒への社会的圧力には抵抗できないと感じた。
remuneration,報酬; 報償; 給料,Chief executives are often criticised for their excessive remuneration.,最高経営責任者たちはしばしば過度な報酬を批判される。
lava,溶岩,The village was buried in lava from the volcano.,その村は火山からの溶岩に埋もれた。
draught,（船の）喫水; 隙間風,Consider the size and draught of vessels when designing canals.,水路を設計する際には船舶の大きさと喫水を考慮せよ。
subsistence,ぎりぎりの生計,Unemployment benefits are only enough to provide a bare subsistence.,失業手当はかろうじてぎりぎりの生活をするのに間に合うだけだ。
deregulation,規制撤廃; 緩和,The country's economy grew after its monetary deregulation.,金融緩和後、その国の経済は成長した。
floral,花の（ような）; 植物群の,The designer was famous for her floral patterns.,そのデザイナーは花柄で有名だった。
arable,耕作に適した［使用される］,The English countryside boasts a large amount of arable land.,イギリスの田舎は耕作に適した土地が多いことが誇りだ。
boar,イノシシ; （去勢しない）雄ブタ,The number of wild boars in nature is decreasing.,野生のイノシシの数が減っている。
suffrage,選挙権; 参政権,Democracies are based on the principle of universal suffrage.,民主主義国家は普遍的な参政権の原理に基づいている。
formative,形成［発達］（期）の,Entrepreneurs must work hard during their companies' formative period.,起業家は会社の形成期には一生懸命働かなければならない。
precedence,（〜に対する）優先; 先行,Speed takes precedence over quality in some projects.,スピードが質より優先されるプロジェクトもある。
clad,（---の）衣服を着た,He was smartly clad in a tailcoat and bowtie.,彼は粋に燕尾服と蝶ネクタイを身に着けていた。
bereavement,死別; 先立たれること,The president was absent from work due to a family bereavement.,社長は家族に不幸があったため仕事を休んだ。
detrimental,有害な; 不利益の,Smoking has been proven to be detrimental to health.,喫煙は健康に有害であると証明されている。
uptake,理解力; のみ込み,Students quick on the uptake soon spotted the contradiction.,のみ込みの早い学生はすぐに矛盾を見つけた。
molar,臼歯,Molars are mainly used for chewing rather than biting.,臼歯はかじることよりもむしろそしゃくに使われる。
embankment,堤防; 土手; 盛り土,On Sundays local children played on the embankment.,日曜日には地元の子どもはその土手で遊んだ。
intermittent,断続する; 間欠的な,British bands have enjoyed intermittent success in the US music market.,イギリスのバンドはアメリカの音楽市場で断続的な成功を収めてきた。
physiology,生理学; 生理（機能）,The research was done by a biologist specialising in physiology.,その研究は生理学を専門とする生物学者によってなされた。
soluble,溶解できる; 可溶性の,Soluble substances will dissolve in certain liquids.,可溶性の物質はある特定の液体に溶ける。
apex,頂点; 頂上; 先端,The Supreme Court is the apex of the American judiciary.,最高裁判所はアメリカの司法制度の頂点である。
preferential,優先的な; 優遇の; 特恵の,The teacher did not give his own son preferential treatment.,その教師は自分の息子を優遇しなかった。
impartial,偏らない; 偏見のない; 公平な,The jury's judgement on the case was fair and impartial.,その件における陪審の判決は公正で偏見のないものだった。
terrestrial,陸生の; 陸上の; 地球(上)の,Terrestrial heat is a fashionable new energy source.,地熱は流行の新エネルギー源だ。
devious,遠回りの; 曲がりくねった; 遠隔の,We took a scenic but devious route to the village.,私たちはその村まで景色が良いが遠回りの道を行った。
cervical,子宮頚管部の; 首の; 頚部の,Regular cervical screening is strongly recommended for women over 20.,20歳以上の女性は定期的に子宮頚管部の検査を受けることが強く推奨される。
aback,(be taken abackで)不意を打たれる,The people were taken aback by the prime minister's resignation.,人々は首相の辞任に不意を打たれた。
effluent,排水; 汚水,Industrial effluent has polluted the river for years.,産業排水は長年にわたってその川を汚染してきた。
endemic,(病気が将来ある地方に)特有の,The disease is endemic in parts of Northern Europe.,その病気は北ヨーロッパのある地域に特有のものだ。
unwittingly,無意識に; 知らず知らずに,They unwittingly scared the local wildlife with their loud voices.,彼らは気付かないうちに大声で現地の野生生物を怖がらせた。
bonanza,思いがけない幸運; 大当たり; 多量,The new discovery proved to be a bonanza for scientists.,その新発見は科学者たちにとって思いがけない幸運となった。
naysayer,いつも反対する人,Large construction projects always attract naysayers.,大規模な建設計画には反対者がつきものだ。
Antarctica,南極大陸,Antarctica's freezing conditions can be dangerous to unprepared visitors.,南極大陸のいてついた環境は，準備不足の訪問者には危険なことがある。
dyke,堤; 堤防; 岩脈,Dykes are highly visible in the Dutch countryside.,オランダの田舎では堤防がひときわ人目を引く。
measurable,目につく(ほどの); はっきりと分かる,The economy is making a measurable but slow recovery.,景気ははっきりと分かるがゆっくりとした回復をしている。
dissertation,論文; (特に)学位論文,The graduate student wrote a dissertation on the ethics of Aristotle.,その大学院生はアリストテレスの倫理学についての学位論文を書いた。
glacial,氷河の; 氷の(ような),Rates of glacial erosion are variable.,氷河の浸食の速度は変化する。
rudimentary,初歩的な; 未発達の,Learning musical scales is necessary to develop rudimentary piano ability.,音階を学ぶことは初歩的なピアノの能力向上に必要だ。
holistic,全体論の,Liberal politicians advocate a holistic approach to tackling crime.,リベラル派の政治家は犯罪対策に全体論的な取り組み方を唱えている。
hedgehog,ハリネズミ,Hedgehogs curl themselves into a ball as a defensive action.,ハリネズミは防御行動として体を丸める。
thence,そこから; その時から,The group of academics flew first to Rome and thence to Paris.,その大学教授グループはまずローマに飛び，そしてそこからパリに飛んだ。
hypnosis,催眠術; 催眠状態,Hypnosis has proven successful in recalling repressed memories.,催眠術は抑圧された記憶を呼び起こすことができると証明されている。
thistle,アザミ,Thistles are often seen in the Scottish countryside.,アザミはスコットランドの田舎によく見られる。
adobe,日干しれんが,Many of the world's oldest buildings are adobe structures.,世界の最も古い建物の多くは日干しれんがでできている。
millennium,1,000年(紀),The new millennium began on January 1st 2001.,新しい1,000年は2001年の1月1日から始まった。
quantify,の量を決める[測る]; を定量化する,Happiness is difficult to quantify.,幸福を数値化するのは難しい。
artefact,人工遺物; 人工物,The British Museum contains thousands of interesting artefacts.,大英博物館は何千もの興味深い人工遺物を所蔵している。
outlay,支出; 出費; 経費,The company's new venture business required a huge initial outlay.,その会社の新しいベンチャービジネスは巨額の初期支出を必要とした。
vantage,有利な[眺めの良い]位置; 優勢,The view from the vantage point was magnificent.,その見晴らしの良い場所からの眺めは素晴らしかった。
primer,入門書; 初歩読本,The book is an excellent primer for beginners.,その本は初心者にとって素晴らしい入門書だ。
saliva,唾液; つば,Saliva moistens food to help digestion.,唾液は食べ物を湿らせて消化を助ける。
landfill,埋め立て地; 埋め立て式ごみ処理地,The UK suffers from a lack of landfill sites.,イギリスはごみの埋め立て地の不足に頭を抱えている。
nocturnal,夜行性の; 夜(間)の,A famous example of a nocturnal creature is the bat.,夜行性の生物の代表的な例はコウモリである。
precipitation,降雨; 降水量,The average annual precipitation in London is about 24 inches.,ロンドンの平均年間降水量は約24インチである。
convection,対流; 環流,Convection heaters work by warming the air.,対流暖房機は空気を暖めることで機能する。
dung,ふん; 肥やし,Dung can be used as a fertiliser.,動物のふんは肥料として使うことができる。
inextricably,密接に; 切り離せないほどに,Language is inextricably linked with culture.,言語は文化と密接に結び付いている。
topography,地形(学); 地勢(学),A good hiking map will show the topography of the region.,よくできたハイキング用地図にはその地域の地形が示されている。
brunt,(-の)ほこ先; (非難の)矢面,Coastal cities will often bear the brunt of typhoons.,海岸沿いの都市はしばしば台風のほこ先となる。
esoteric,難解な; 深遠な; 秘儀の,Certain schools of Buddhism have esoteric teachings.,仏教のある宗派は難解な教義を持っている。
asymmetry,非対称,Asymmetry in a building plan increases damage during an earthquake.,建築設計における非対称は地震の際の被害を拡大する。
wheelbarrow,(一輪の)手押し車,Workmen were bringing sand in wheelbarrows.,作業員たちが手押し車で砂を運んでいた。
clientele,(集合的に)顧客; 依頼人,The restaurant attracted a large foreign clientele.,そのレストランは多くの外国人顧客を引き付けている。
patently,明白に; 公然と,It was patently obvious that the murder suspect was lying., 殺人容疑者がうそをついていることは明白だった。
provenance,起源; 出所; 由来,Christianity believes that the world is of divine provenance.,キリスト教は世界が神に由来すると信じている。
affective,感情の; 情動(性)の,Affective disorders usually involve very rapid changes of mood.,感情障害は通常とても急速な気分の変化を伴う。
amorphous,形のない; 無定形の,Justice is rather an amorphous concept.,正義はどちらかと言えば明確な形のない概念だ。
autocratic,独裁的な; 専制(君主)の,Many people disliked the king's autocratic attitude.,多くの人は王の独裁的な態度を嫌った。
consequential,重大な; 重要な; 結果として起こる,Today's negotiation proved highly consequential towards securing the contract., 今日の交渉は契約獲得に向けて極めて重要なものとなった。
armoury,兵器庫; 蓄え,The armed forces have numerous weapons in their armoury.,軍は兵器庫におびたただしい武器を保管している。
mite,ダニ,Many people are allergic to household mites.,多くの人はイエダニにアレルギーがある。
detract,(価値などを)損なう; おとしめる,The scandal will not detract from the politician's achievement.,そのスキャンダルがその政治家の功績を損なうことはない。
accrue,(〜に)生じる; 増加する,Benefits will accrue to the city from reconstruction.,復興によって市に利益が生じる。
benchmark,尺度; 基準,The employee had set the benchmark for monthly sales.,その社員が月間売り上げの基準となっていた。
lagoon,潟; 潟湖; 礁湖,The party was impressed by the beauty of the lagoon.,一行は潟湖の美しさに感銘を受けた。
tremor,震動; 揺れ,California residents are used to minor earth tremors.,カリフォルニアの住民は小さな地震には慣れている。
underpin,を支える; 強める; 補強する,Belief in God underpins the Christian philosophy.,神への信仰がキリスト教の考え方を支えている。
genome,ゲノム,The Human Genome Project holds the key to human life.,ヒトゲノムプロジェクトは人間の生命の鍵を握っている。
exuberant,生気あふれる; 生き生きとした,Her friends loved her exuberant personality.,友人たちは彼女の生き生きとした人柄が好きだった。
conical,円すい状の,Mount Fuji is often praised for its perfectly conical appearance.,富士山はしばしばその完璧な円すい形の外観でたたえられる。
phosphorus,リン,America has a long history of mining phosphorus.,アメリカはリン採掘に長い歴史を持つ。
antidote,解毒剤,The antidote must be taken within six hours of being poisoned.,その解毒剤は毒の被害に遭ったら6時間以内に服用しなければならない。
bounty,恵み深さ; (自然の)豊かな恵み,The field was filled with a bounty of juicy vegetables.,その畑はみずみずしい野菜の恵みであふれていた。
deforestation,森林破壊; 伐採,Deforestation has become a major issue for Brazil in particular.,森林破壊は特にブラジルで大きな問題となっている。
pancreas,膵臓,Cancer of the pancreas is especially lethal.,膵臓のがんは特に命に関わる。
predominate,優位を占める; 圧倒的に多い,Men tend to predominate in the manufacturing sector.,製造部門では男性が圧倒的に多い傾向がある。
hedgerow,生け垣,Properties are often separated by hedgerows.,所有地はしばしば生け垣で仕切られている。
trappings,(地位などを)象徴する物,The monarch had the trappings but not the reality of power.,その君主は地位にふさわしい所有物を持っていたが，現実の権力は持っていなかった。
forerunner,先駆者; 前身; 先駆け,Folk music was one of the forerunners of rock.,フォークミュージックはロックの先駆けの1つだった。
biomass,バイオマス; 生物量,Ecologists have long advocated biomass as a source of fuel.,環境保護論者は以前からバイオマスを燃料源として提唱してきた。
acupuncture,はり療法,Acupuncture has been increasingly accepted in Western medicine.,はり療法は次第に西洋医学で受け入れられるようになっている。
unscathed,無傷の; 無事な,Fortunately the valuable painting was unscathed by the fire.,幸いなことにその貴重な絵は火事でも無事だった。
judicious,思慮分別のある; 賢明な,The executive showed judicious thinking in choosing his successor.,その経営者は後継者の選択に賢明な判断を示した。
nicotine,ニコチン,Nicotine patches are used by people intent on quitting smoking.,ニコチンパッチは禁煙を決意している人が使うものだ。
viscous,粘性の; ねばねばする,The sap is a highly viscous substance.,樹液は非常に粘性の高い物質だ。
silt,(河口などの底の)沈泥,The beaches of Lyme Regis in England contain a lot of silt.,イングランドのライムリージスの砂浜は沈泥を多く含む。
credence,信用; 信頼,The data lent credence to the economist's argument.,そのデータによってその経済学者の主張に対する信頼が高まった。
eaves,軒; ひさし,The couple took shelter from the rain under the eaves.,その夫婦は軒下で雨宿りした。
puncture,に穴を開ける; (鋭い物で開いた)穴,Somebody punctured the rear tyre of the politician's car.,何者かがその政治家の車の後輪に穴を開けた。
causeway,(低湿地に作った)土手道,After a heavy rain, the causeway can become flooded.,大雨の後その土手道は水浸しになることがある。
hinterland,内陸地域; 奥地; 後背地,The settlers gradually moved from the coast into the hinterland.,開拓者たちは沿岸から内陸地域に徐々に移動した。
impinge,(〜に)影響を及ぼす,This new law may impinge on civil liberties.,この新法は市民の自由に影響を及ぼすかもしれない。
absenteeism,常習的欠勤; 欠席,The company is investigating the reason for increased absenteeism.,その会社は常習的欠勤増加の原因を調査している。
engrossed,(〜に)没頭して; 夢中になって,The physicist was so engrossed in his research that he forgot the time.,その物理学者は研究に没頭するあまり時間を忘れた。
incongruous,不調和な; 不釣り合いな,It seemed incongruous for a former general to be a pacifist.,かつての将軍が平和主義者なのは不釣り合いに思えた。
cornerstone,基礎; 土台; 隅石; 礎石,Trust is the cornerstone of any workplace relationship.,いかなる職場の人間関係でも信頼が基礎となる。
primate,霊長類,The majority of primates can be found in warmer climates.,霊長類の大半は温暖な気候の所に生息する。
prodigious,莫大な; 膨大な; 桁外れの,Everyone admired the young actor's prodigious talents.,その若い俳優の桁外れの才能に誰もが感嘆した。
streamline,を合理化する; 簡素化する,Our company must streamline operations to remain competitive.,わが社は競争力を維持するために事業を合理化しなければならない。
succumb,(〜に)屈する; 負ける,Even healthy young people succumbed to the virus.,健康な若者でさえそのウイルスに屈した。
bronchitis,気管支炎,Smoking is a major cause of bronchitis.,喫煙は気管支炎の主原因だ。
stratosphere,成層圏,The rocket was launched into the stratosphere.,ロケットは成層圏に打ち上げられた。
neuron,神経細胞; ニューロン,Neuron disease causes a person's actions and responses to slow.,神経細胞の病気は人の行動や反応を遅くさせる。
anecdotal,逸話的な; 裏付けに乏しい,The book only provided anecdotal evidence for its claims.,その本は主張に対して裏付けの乏しい証拠しか挙げていなかった。
inexorable,動かし難い; 不変の; 避け難い,The inexorable rise in energy costs must be addressed.,エネルギーコストの避け難い上昇に対処しなければならない。
puberty,思春期,Puberty can cause children to have mood swings.,思春期になると子どもは気分の変化が大きくなることがある。
unload,(積み荷を)降ろす,It takes several hours to unload a large container ship.,大型のコンテナ船から積み荷を降ろすには数時間かかる。
photosynthesis,光合成,Plants create food from sunlight in the process of photosynthesis.,植物は光合成を通して日光から養分を作り出す。
banal,陳腐な; ありふれた; 面白くもない,Many English textbooks are banal in tone.,英語の教科書の多くはありふれた調子で書かれている。
funnel,じょうご; (空気を)集中させる,Funnels are used to pour liquid into narrow openings.,じょうごは狭い開口部に液体を注ぐために使われる。
subterranean,地下の; 地中の,Earthquake prediction apparatus is highly sensitive to subterranean movements.,地震予知のための機器は地下の動きに非常に敏感である。
torrential,奔流の（ような）; 土砂降りの,Torrential rain meant the outdoor football match was abandoned.,土砂降りの雨は屋外でのサッカーの試合の中止を意味した。
sanitation,公衆衛生（学）,Public sanitation was a huge issue in 19th-century Europe.,19世紀のヨーロッパでは公衆衛生が非常に大きな問題だった。
cub,（肉食哺乳動物の）子; 幼獣,Lion cubs are fiercely protected by their mother.,ライオンの子は母ライオンが体を張って守っている。
incineration,焼却; 火葬,Incineration of garbage is a controversial issue in Europe.,ヨーロッパではごみの焼却は物議を醸す問題である。
reciprocity,相互依存［作用］; 相互関係,The couple hosted the guest without any expectation of reciprocity.,夫妻は見返りを期待することなく客をもてなした。
replicate,を複製する; 再現する,The scientist was unable to replicate his initial test results.,その科学者は当初の実験結果を再現することができなかった。
adjunct,（〜の）付属物; 添え物,The textbook is designed as an adjunct to the lecture.,そのテキストは講義を補足するものとして作られている。
sag,（重みで）たわむ; 垂れ下がる,The boughs of the tree sagged with fruit.,その木の枝は果実の重みでたわんだ。
threefold,3重［倍］に,The improved economy resulted in sales increasing threefold.,経済が上向きになって売り上げが3倍に増えた。
astrology,占星術,Astrology claims to predict the future using the stars.,占星術は星を使って未来を予測すると主張する。
preponderance,圧倒的多数; （数などでの）優勢,The English textbook contained a preponderance of grammar-based activities.,その英語の教科書は文法を基礎とした作業を圧倒的に多く含んでいた。
primeval,原始時代の; 太古の,The archaeologists discovered many primeval tools on their dig.,考古学者たちは発掘現場でたくさんの原始時代の道具を発見した。
porous,小穴の多い; 多孔性の,Filters must be made from porous materials.,フィルターは多孔性の素材で作られなければならない。
nectar,（植物の）蜜,Bees take nectar from plants to make honey.,ハチは蜂蜜を作るために植物から蜜を集める。
archipelago,群島; 諸島,Rain is forecast throughout the Philippine archipelago this weekend.,フィリピン諸島全体が今週末は雨の予報になっている。
blight,（〜の）破滅［失敗］の原因; 胴枯れ病,Pollution is a blight on many crowded cities.,公害は多くの人口の密集した都市に被害をもたらすものだ。
Celsius,摂氏の,The temperature today is 30 degrees Celsius.,今日の気温は摂氏30度だ。
chum,仲良し; 親友,The two professors had been chums for years.,両教授は長年の親友だった。
obnoxious,非常に不快な; いとわしい,Many viewers found the comedy obnoxious.,見た人の多くはその喜劇を非常に不快だと感じた。
scourge,苦悩のもと; 天罰; たたり,Corruption is often the scourge of politics.,汚職はしばしば政治の苦悩のもとだ。
damning,（証拠などが）有罪を証明する,The police presented damning evidence against the suspect.,警察は容疑者に対して決定的に不利な証拠を突き付けた。
elucidate,を明らかにする; 解明する,The professor asked the student to elucidate his argument.,教授は論点を明らかにするようその学生に言った。
altruistic,利他的な,Socialism is based on the assumption that people are altruistic.,社会主義は人が利他的であるという前提に基づいている。
disenchantment,幻滅; 失望,Many people experience disenchantment with their jobs.,多くの人は自分の仕事に対する幻滅を経験する。
curtail,を短縮［削減; 縮小］する,Many companies are trying to curtail overtime in this economy.,この経済状況の中で多くの企業は残業を削減しようとしている。
malevolent,悪意のある; よこしまな,The judge described the criminal as a malevolent cheat.,裁判官は犯人を悪意のある詐欺師と呼んだ。
prohibitive,（税・規則などが）禁止する; （値段が）高い,Investors were put off by the prohibitive trade laws.,投資家は禁止項目の多い貿易法に意欲をそがれた。
appreciably,感じられるほどに; かなり,Sales did not increase appreciably after the advertising campaign.,広告キャンペーンの後で売り上げが目に見えて伸びたわけではなかった。
deviate,（〜から）逸脱する,The minister's economic analysis deviated from conventional wisdom.,大臣の経済分析は世間一般の通念から逸脱していた。
exacerbate,を悪化させる; を憤激させる,Shipping weapons to unstable regions only exacerbates tensions there.,情勢の不安定な地域に武器を送ることはその地域の実情を悪化させるだけだ。
outcrop,（地層・鉱脈の）露出（部）; 露頭,The castle was built on a large stone outcrop.,その城は大きな石のむき出し部分の上に建っていた。
reiterate,を（強調のために）繰り返す,The defence lawyer reiterated the main points of his argument.,被告側弁護士は主張の主な点を繰り返した。
impede,を妨げ（て遅らせ）る; 邪魔する,Excessive patent regulation can impede innovation and creativity.,過剰な特許規制は革新と創造力の妨げとなり得る。
sawdust,おがくず,The floor of the workshop was always covered with sawdust.,その作業場の床は常におがくずに覆われていた。
pottery,土器; 陶器,Earthenware products are often used in the Japanese tea ceremony.,日本の茶道ではよく陶器の製品が使われる。
sledge,そり,The children enjoyed riding their sledges down the hill.,子どもたちは坂でそり滑りを楽しんだ。
forceps,（外科・歯科医の）鉗子,Surgical forceps are usually made of stainless steel.,外科用の鉗子はたいていステンレス鋼でできている。
irrevocable,取り消せない; 変更できない,The war-torn village has suffered irrevocable damage.,戦争で破壊された村は取り返しのつかない被害を被った。
palatable,口に合う; おいしい,New Zealand produces some very palatable wines.,ニュージーランドは非常においしいワインを産出している。
taxonomy,分類学; 分類（法）,Animal taxonomy is the classification of animals based on shared characteristics.,動物分類学は共通の特徴に基づく動物の分類である。
gullible,だまされやすい,The Internet can be a trap for gullible consumers.,インターネットはだまされやすい消費者にとって落とし穴になり得る。
scrupulous,綿密な; 周到な; 良心的な,The historian was famous for his scrupulous attention to evidence.,その歴史家は証拠に細心の注意を払うことで有名だった。
unaided,援助なしの; 自力の,Head lice are invisible to the unaided eye.,アタマジラミは肉眼では見えない。
align,を1列［一直線］に並べる,All the mirrors in the room should be aligned.,部屋の鏡は全部1列に並べるべきだ。
forgo,をなしで済ませる; 慎む; をやめる,The war forced many youngsters to forgo a university education.,その戦争によって多くの若者は大学教育を諦めることを余儀なくされた。
quirk,（変わった）癖; 奇癖,The mathematician was known for his personality quirks.,その数学者は個性的な奇癖で知られていた。
horticulture,園芸（学［術］）,Many universities provide courses in horticulture.,多くの大学が園芸学のコースを提供している。
forage,（飼料・食糧を）捜し回る,The livestock was allowed to freely forage in the field.,家畜は牧草地で自由に餌を捜し回ることができた。
regimen,健康増進法; 指導計画,Most successful athletes follow a tough training regimen.,成功しているアスリートのほとんどは過酷なトレーニングメニューに従っている。
odyssey,長い放浪［冒険］の旅,The story is about the odyssey of an ancient warrior.,それは古代の戦士が冒険の旅をする物語だ。
froth,(ビールなどの)泡，あぶく,The chemical reaction produced a lot of froth.,化学反応によりたくさんの泡が出た。
introspection,内省，内観,Much philosophy has been based on introspection.,多くの哲学は内省に基づいてきた。
fallow,(土地が)休閑中の,Some types of traditional farming involve leaving some fields fallow.,伝統的農法の中には畑の一部を休耕地とするものもある。
grapple,(~と)取っ組み合いをする,The security guard grappled with the intruder.,警備員は侵入者と格闘した。
wane,(徐々に)弱くなる，衰退する,As athletes age, their talent begins to wane.,アスリートは年を取るにつれて，その才能も衰え始める。
appease,をなだめる,Efforts to appease the dictator and avoid war were unsuccessful.,独裁者をなだめて戦争を回避しようとする努力は失敗に終わった。
dampen,を湿らせる,Slightly dampen the wall surface before applying the wallpaper.,壁紙を貼る前に，軽く壁の表面を湿らせるとよい。
dehydration,脱水症状;脱水，乾燥,Dehydration is a common problem in the desert.,脱水症状は砂漠ではよくある問題だ。
disseminate,を広める，流布させる,The Federal Reserve mistakenly disseminated its report early.,連邦準備銀行は間違えて早くレポートを公表した。
downpour,大雨，豪雨，土砂降り,Everyone was surprised by the sudden downpour of rain.,突然の豪雨に皆驚いた。
fickle,移り気な;変わりやすい,Television audiences are known for being fickle.,テレビの視聴者は移り気なことで有名だ。
fortuitous,偶然の，思いがけない,Meeting the CEO in the elevator was a fortuitous opportunity.,エレベーターの中でCEOと遭遇したのは思いがけないチャンスだった。
leaded,(ガソリンなどが)有鉛の,Environmental concerns have led to increased criticism of leaded petrol.,環境への関心から有鉛ガソリンへの批判が高まっている。
lethargy,無気力，倦怠;無関心,Lethargy can be a symptom of many illnesses.,無気力は多くの病気の症状として現れることがある。
pup,子イヌ,The pup took several months to become toilet-trained.,その子イヌのトイレトレーニングには数か月かかった。
dearth,(~の)不足，欠乏,The country has a dearth of engineering graduates.,その国では工学系の大卒が不足している。
kaleidoscope,万華鏡;絶えず変化するもの,The multiple reflections of internal mirrors make kaleidoscopes so beautiful.,内部の鏡が何重にも反射することで万華鏡はこんなにも美しくなる。
propagate,を増殖[繁殖]させる;を広める,It is possible to propagate some types of houseplant from single leaves.,室内用の植木には 1枚の葉から増やせる種類のものがある。
concave,凹面の，凹形の,Concave lenses are used to correct nearsightedness.,凹面のレンズは近眼を矯正するために使われる。
fluctuate,(絶えず)変動する，上下する,The currency exchange rate will continue to fluctuate.,為替レートは今後も変動するだろう。
rodent,齧歯類の動物,Many major cities have a sizeable rodent population.,多くの大都市には齧歯類動物がかなりの規模で生息している。
adage,ことわざ，格言，金言,As the old adage says, ‘Look before you leap.’,古いことわざにあるように，「転ばぬ先のつえ」だよ。
capricious,気まぐれな，移り気な,As the dictator aged, he became increasingly capricious.,その独裁者は老いるにつれてますます気まぐれになった。
unwind,くつろぐ;(巻いたものが)ほどける,Many people find a glass of wine helps them to unwind.,多くの人は 1杯のワインがくつろぐのに役立つと感じる。
sulphide,硫化物,Many sulphides are toxic and should be handled carefully.,多くの硫化物は有毒で，取り扱いには注意が必要だ。
vertebrate,脊椎動物,Vertebrates first originated about 500 million years ago.,脊椎動物は約5億年前に初めて出現した。
avidly,熱心に，貪欲に,The old grandfather avidly recalled his teenage years.,年老いた祖父は熱心に自分の 10代のころを思い出していた。
basalt,玄武岩,Basalt is a main material in stone wool insulation.,玄武岩は岩綿断熱材の主な原料である。
clot,(血などの)塊，凝血,The prime minister was incapacitated due to a blood clot.,首相は血栓を患って職務を遂行できなくなった。
exponential,急激な，指数関数的な,The increase in the number of working women has been exponential.,働く女性の数の増加は急激である。
decipher,を解読する，判読する,Archaeologists try to decipher ancient languages.,考古学者は古代の言語を解読しようとする。
prodigy,神童，天才，奇才,Most champion chess players were child prodigies.,チェス選手のチャンピオンのほとんどは神童だった。
pronouncement,宣告，宣言,The world media listens carefully to the Pope’s pronouncements.,法王の宣言に世界のメディアが注意深く耳を傾ける。
shortlist,最終的選抜候補者名簿,The manager made a shortlist of applicants for the job.,マネージャーはその仕事の最終候補者名簿を作成した。
dredge,を浚渫する,They voted to dredge the river to make it deeper.,彼らは川をもっと深くするために浚渫することを投票で決めた。
treacle,糖蜜,Treacle is a syrup made from refined sugar.,糖蜜は精製された砂糖から作られるシロップだ。
