単語,意味,例文 (英語),例文(日本語)
morale,(組織の)士気; 風紀,Morale among the shop floor workers was low.,店の売り場で働く人たちの士気は低かった。
momentum,勢い; 弾み; 起動力,The pro-democracy movement began to gain momentum.,民主化運動は勢いを増し始めた。
methodology,方法論; 研究方法,The professor's research methodology was questionable.,その教授の研究方法には疑問の余地があった。
constituent,構成要素; 成分; 有権者,Blood is made up of several different constituents.,血液は幾つかの異なった成分でできている。
peripheral,末梢的な; あまり重要でない,Only a few peripheral details remained to be decided.,あとはあまり重要でない細かい点を幾つか決めるだけだった。
optical,視覚(上)の; 光学(上)の,The oasis was nothing but an optical illusion.,そのオアシスは視覚的錯覚にすぎなかった。
mason,石工; れんが職人,A mason was employed to carve the tombstone.,その墓石を彫るために石工が雇われた。
cult,カルト; カルト教団,A cult group claimed responsibility for the attacks.,カルト集団がその攻撃の犯行声明を出した。
consortium,共同企業体; 合弁企業,A Europe-based consortium bought out the struggling advertising agency.,ヨーロッパを拠点とする合弁企業が不振にあえぐその広告代理店を買収した。
unprecedented,前例のない; 空前の,The communists won an unprecedented number of votes.,共産党は空前の票を集めた。
nitrogen,窒素,Over 75% of the air that we breathe is nitrogen.,私たちが呼吸する空気の 75%以上は窒素だ。
notorious,(~で)悪名高い,The company was notorious for its poor quality control.,その会社は品質管理が悪いことで悪名が高かった。
transit,(天体の)子午線通過; 輸送; 運搬,The transit of Venus across the Sun is a rare event.,太陽を横切る金星の子午線通過はまれな出来事である。
patronage,(芸術・事業などの)後援; 保護; 奨励,The artist enjoyed the patronage of several wealthy businessmen.,その芸術家は裕福な実業家何人かの後援を受けていた。
precedent,先例; 前例; 判例,The court case set a legal precedent.,その訴訟事件は法的先例を作った。
undermine,を徐々にむしばむ; ひそかに傷つける,Global warming is undermining the planet's health.,地球温暖化がこの惑星の健康をむしばんでいる。
livestock,家畜(類),The farmer's livestock were grazing on the hillside.,その農夫の家畜は丘の斜面で牧草をはんでいた。
void,何もない空間; 虚空; 空の,The satellite was lost in the void of space.,その衛星は宇宙の虚空で行方不明になった。
feasible,実現[実行]可能な; 可能性のある,Many experts questioned whether the government's plan was feasible.,政府の計画が実行可能かどうか多くの専門家が疑った。
stark,くっきりした; 荒涼たる; 厳しい,There is a stark difference between the two countries.,両国には際立った違いがある。
onset,(特に望ましくないことの)始まり; 開始,Please take this medicine at the first onset of a cold.,この薬は風邪のひき始めに飲んでください。
limestone,石灰岩; 石灰石,Many fossils were seen in the limestone layers.,多くの化石がその石灰岩層の中に見られた。
premature,早過ぎる; 時期尚早の; 早産の,The couple's baby was three and a half weeks premature.,その夫婦の赤ちゃんは 3週間半早産だった。
imminent,今にも起こりそうな; 差し迫った,The species is facing an imminent danger of extinction.,その種は差し迫った絶滅の危機に瀕している。
advent,(the ~)出現; 到来,The Internet marked the advent of a new age.,インターネットは新しい時代の到来を告げた。
plausible,理にかなっている; もっともらしい,The student gave a plausible reason for arriving late.,その生徒は遅刻のもっともらしい理由を述べた。
prone,(~する)傾向がある,The delicate child was prone to catch colds.,その病弱な子どもは風邪をひきやすかった。
wary,(~に)用心深い; 注意深い,The old lady was instructed to be wary of theft.,その老婦人は泥棒に気を付けるよう教えられた。
surge,(感情の)込み上げ; 高まり; 押し寄せる,He felt a surge of joy when he heard his family were safe.,家族が無事だと聞いて彼は喜びが込み上げるのを感じた。
hygiene,衛生(状態[管理]); 清潔,Hygiene in restaurants is a key issue for public health.,飲食店での衛生管理は人々の健康にとって重要な課題だ。
sewage,下水; 汚水,Some of London's sewage system is over 100 years old.,ロンドンの下水道の一部は 100年以上前に作られたものだ。
potent,(薬などが)よく効く; 勢力のある; 有力な,The vaccine remains potent for several years.,そのワクチンは何年か効果が持続する。
surveillance,監視; 見張り; 査察,Surveillance cameras line the streets of London.,ロンドンの通りには監視カメラが並んでいる。
naive,世間知らずの; 単純な; 楽天的な,The professor found the students' essays rather naive.,その教授は生徒たちのレポートをかなり単純だと思った。
sceptical,(~に)懐疑的な; 疑い深い,The public were sceptical of the official news media.,大衆は公式のニュースメディアに疑いを持っていた。
reservoir,貯水池; ため池; 貯水槽,The reservoir dried up completely during the dry weather.,そのため池は乾燥した天気の間に完全に干上がった。
debris,残骸; がれき,The amount of debris from the collapsed building was immense.,倒壊したビルのがれきの量は膨大だった。
synthetic,合成の; 総合の; 統合の,This fabric is made of synthetic silk.,この布は合成の絹でできている。
cynical,皮肉な; 冷笑的な; ひねくれた,The comedian's cynical remarks drew much laughter.,そのコメディアンの皮肉な発言は多くの笑いを呼んだ。
defective,欠点[欠陥]のある; 不完全な,The car accident was caused by defective brakes.,その自動車事故は欠陥のあるブレーキによって引き起こされた。
demographic,人口統計(学)の,Major demographic changes occurred due to immigration reform.,移民法の改革により人口統計上の大きな変化が起きた。
brewery,(ビールなどの)醸造所; ビール会社,Many pubs in the UK are owned by large breweries.,イギリスの多くのパブは大手のビール会社が所有している。
consecutive,連続した,The football team registered seven consecutive wins.,そのサッカーチームは 7連勝を記録した。
opt,(~を)選ぶ; (~に)決める,The professor decided to opt for early retirement.,その教授は早期退職を選ぶことにした。
outright,全くの; 率直な; 完全に,Some people tell outright lies to support their positions.,自分の立場を維持しようとあからさまなうそをつく人たちがいる。
corpus,言語資料; コーパス,We can learn a lot about the vocabulary from a corpus.,われわれは言語資料から語彙についてたくさんのことを学べる。
severity,厳しさ; 激しさ; 深刻さ; 重大さ,The government tried to hide the severity of the economic crisis.,政府は経済危機の深刻さを隠そうとした。
cellular,細胞の; 細胞から成る,The biology professor explained the cellular phenomenon by drawing it.,その生物学の教授はその細胞現象を絵に描いて説明した。
maternal,母の; 母らしい,Not all psychologists believe that there is a maternal instinct.,全ての心理学者が母性本能があると信じているわけではない。
communal,共同の; 共同社会の; 共有の,The communal facilities in the building were low-quality.,その建物の共同施設は質が良くなかった。
mug,ジョッキ; マグカップ,Workers were asked to bring their own mug to work.,従業員たちは職場に自分のマグカップを持参するように言われた。
admittedly,誰もが認めるように; 確かに; なるほど,Admittedly, wars are still happening in many parts of the world.,確かに，世界の多くの場所でいまだに戦争が起きている。
cumulative,累積的な; 累加的な,Doctors blamed the illness on cumulative exposure to chemicals.,医師たちは，その病気は化学薬品への露出が累積したことが原因だとした。
dubious,疑わしい; いかがわしい; 半信半疑で,The report was based on dubious information from an unknown source.,その報告書は出所不明の疑わしい情報に基づいていた。
exempt,(~を)免除された; に(義務などを)免じる,Overseas students are exempt from paying tax.,留学生は税金の支払いを免除されている。
robust,強健な; がっしりした; たくましい,Despite being over 80, he was still very robust.,80歳を超えているにもかかわらず彼はまだとても強健だった。
archive,公文書; 古記録; アーカイブ,It is possible to read part of these newspaper archives online.,この新聞アーカイブの一部はオンラインで読むことが可能だ。
contention,主張; 論点; 論争,It was the environmentalist's contention that global warming was irreversible.,地球温暖化を元に戻すことはできないというのがその環境保護論者の主張だった。
contingent,(~に)依存する; 左右される,Success of the fireworks party was contingent on the weather.,花火大会の成功は天気にかかっていた。
trolley,手押し車; トロッコ; 路面電車,The lady filled her shopping trolley with food.,その婦人は買い物用の手押し車を食料品でいっぱいにした。
prototype,原型; 試作品,The prototype of the product was designed last year.,その製品の試作品は去年デザインされた。
dementia,認知症,This facility specialises in the treatment of senile dementia.,この施設は老人性認知症の治療を専門としている。
susceptible,(～に)影響を受けやすい; 感染しやすい,Children are especially susceptible to colds this time of year.,子どもはこの時期特に風邪に感染しやすい。
sinister,邪悪な; よこしまな; 陰険な,The police uncovered a sinister plot to overthrow the government.,警察は政府を転覆しようとする邪悪な計画を暴いた。
proximity,(～に)近いこと; 近接; 接近,Her family all live in close proximity to each other.,彼女の家族はみんなお互いにすぐ近くに住んでいる。
acoustic,聴覚の; 音響(学)の,The accident affected the acoustic ability of one of his ears.,その事故は彼の片耳の聴覚能力に影響を与えた。
poised,用意ができている; 身構えて,The local football team is poised to win the championship.,地元のサッカーチームは決勝戦に勝つ態勢が整っている。
rigorous,厳しい; 厳格な; 精密な,All medicines are subjected to rigorous tests before approval.,全ての薬品は承認前に厳格な試験を受ける。
diabetes,糖尿病,It is true that many overweight people suffer from diabetes.,多くの体重過多の人が糖尿病に苦しんでいるのは事実だ。
asthma,ぜんそく,Asthma causes many people to have severe breathing difficulties.,ぜんそくは多くの人に重い呼吸困難をもたらす。
haven,避難所; 安息地; 保護区,The Cayman Islands is a well-known offshore tax haven.,ケイマン諸島は有名な海外の租税回避地である。
impetus,弾み; 刺激; 推進力; 起動力,The failure provided the impetus for a new approach.,その失敗は新しい取り組みへの刺激となった。
lethal,致命的な; 致死(性)の; 破壊的な,Some serious criminals are put to death by lethal injection.,重大犯罪者の一部は致死注射により処刑される。
radius,半径,The circle has a radius of five centimetres.,その円は半径5センチだ。
intrinsic,本来備わっている; 固有の; 本質的な,Language is intrinsic to human beings.,言語は人間に本来備わった能力である。
swap,を(～と)交換する; 取り替える,The two boys swapped their game consoles for a week.,2人の少年はゲーム機を1週間交換した。
drought,干ばつ; 日照り続き; 渇水,The summer drought lasted for several weeks this year.,今年は夏季の干ばつが数週間続いた。
militant,攻撃的な; 戦闘的な,The union members gradually became more militant.,組合員たちは徐々により攻撃的になっていった。
incompatible,(～と)相いれない; 両立しない,Freedom of information is sometimes incompatible with the right to privacy.,情報の自由はプライバシーの権利と相いれないことがある。
mandate,と命じる; 義務づける,The rules mandate that examinees present a valid passport.,規則は受験者が有効なパスポートを提示することを義務づけている。
elusive,理解[定義]しにくい; 捕まえにくい,Dark matter is the most elusive substance of all.,暗黒物質は全ての物質の中で最も理解しにくいものだ。
sensory,感覚[知覚]の; 感覚上の,The brain interprets sensory information to perceive reality.,脳は感覚情報を解釈して現実を知覚する。
glossy,艶のある; 光沢[平滑]の,The company produced a glossy brochure for publicity purposes.,その会社は広報目的で光沢のあるパンフレットを製作した。
corporal,身体の; 肉体の,Many countries have banned corporal punishment in schools.,多くの国では学校での体罰は禁止されている。
generic,一般的な; 包括的な; 商標登録されていない,Cheddar is a generic term for a number of cheeses.,チェダーは幾つかのチーズを表す一般用語だ。
muscular,筋骨隆々とした; 筋肉の,The muscular actor became the governor of California.,その筋肉質の俳優はカリフォルニア州知事になった。
outrageous,途方もない; 法外な; 無法な,Many people were surprised by his outrageous behaviour.,多くの人が彼のとんでもない行動に驚いた。
legion,多数(の～); 大群; 軍,This football team has legions of supporters.,このサッカーチームにはサポーターが大勢いる。
paramount,最高の; 主要な; 卓越した,Freedom of speech is of paramount importance in the country.,その国では言論の自由が最も重要である。
terrain,地形; 地勢,The terrain of Hokkaido is more hilly than mountainous.,北海道の地形は山岳的というよりは丘陵的である。
tangible,触れることのできる; 有形の; 明白な,The project was dissolved without producing any tangible results.,そのプロジェクトは目に見える結果が出ないまま解散した。
definitive,最終的な; 決定的な,The judge issued a definitive ruling on the case.,裁判官はその訴訟に最終的な裁定を下した。
parameter,要因; (～S) 限界; 範囲,Various parameters determined the outcome of the policy.,いろいろな要因がその政策の成果を決定した。
kidney,腎臓,The kidneys have the function of filtering the blood.,腎臓には血液をろ過する機能がある。
imperative,絶対必要な; 必須の,It is imperative that all workers refrain from smoking here.,ここでは全ての従業員が喫煙を控えることが絶対に必要だ。
fatty,脂肪分の多い; 脂っこい,The cook cut off the fatty meat before cooking the chicken.,その料理人は鶏肉を調理する前に脂肪の多い肉を取り除いた。
geometric,幾何学の; 幾何学的な,Many cave paintings are decorated with strange geometric shapes.,多くの洞窟画は奇妙な幾何学形で飾られている。
underway,進行中で,Construction of the highway is now underway.,その幹線道路の建設が進行中だ。
predator,捕食動物,Most predators prefer to eat living prey.,ほとんどの捕食動物は生きた獲物を食べることを好む。
periodic,周期的な; 定期的な,The machine suffered from periodic breakdowns.,その機械は定期的に故障した。
rectangular,長方形の; 直角の; 直交する,The diamond ring was placed in a rectangular gift box.,そのダイヤの指輪は長方形のギフトボックスに入っていた。
granite,花こう岩; 御影石,The sculpture had been carved from a block of granite.,その彫刻は花こう岩の塊から彫り出したものだった。
repertoire,レパートリー; 上演目録; 演奏曲目,The opera singer has a large repertoire of songs.,そのオペラ歌手は幅広い歌のレパートリーを持っている。
temporal,側頭部の; この世の; 俗世の,The temporal lobe is one of the brain's four lobes.,側頭葉は脳にある4つの葉の1つだ。
rig,を急ごしらえする; を支度する,A temporary bridge was rigged up across the river.,その川に仮設の橋が急ごしらえで架けられた。
paradigm,理論的枠組み; パラダイム; 例; 典型,The government's radical policies brought about a paradigm shift.,政府の急進的な政策はパラダイムシフトをもたらした。
deter,に(～を)思いとどまらせる,The stormy weather did not deter us from going out.,天候が荒れてもわれわれが外出を思いとどまることはなかった。
manipulate,を操る; を操作する,The police were accused of manipulating the witness.,警察は証人を操ったことを非難された。
pointless,無意味な; 効果のない; 要領を得ない,It is pointless to keep fighting when you know you can't win.,勝てないと分かっていて戦い続けるのは無意味だ。
consolation,慰め; 慰謝; 慰めとなるもの,The widow's children were a great consolation to her.,その未亡人にとって子どもたちが大きな慰めになった。
versatile,多才な; 多芸な; 多方面にわたる,This new plastic is very versatile.,この新しいプラスチックは非常に多目的に使える。
discreet,思慮分別のある; (言動が)慎重な,People should be more discreet when criticising other people.,他人を批判するときはより慎重になるべきだ。
neural,神経(系)の,Studies show that stress affects the neural system.,ストレスが神経系に影響を与えることを研究が示している。
focal,焦点となる; 中心的な; 焦点の,The focal point of graduate study is the thesis.,大学院での学問の中心は論文である。
intricate,複雑な; 錯綜した; 手の込んだ,The clock had an intricate mechanism.,その時計の仕組みは複雑だった。
respondent,回答者,The questionnaire attracted over 1;000 respondents.,そのアンケートは1,000人以上の回答者を集めた。
analogous,(～に)似ている; 類質の; 相似の,Teaching can be viewed as analogous to acting.,教えることは演じることに似ていると見なすことができる。
harness,を(制御して)利用する,Solar panels are used to harness the sun's energy.,ソーラーパネルは太陽のエネルギーを利用するのに用いられる。
volatile,(状況などが)不安定な; 波乱含みの,It is dangerous to invest in stocks under volatile political situations.,不安定な政治状況において株に投資するのは危険だ。
flint,火打ち石,During the Stone Age flint was used to make tools.,石器時代に火打ち石は道具を作るのに使われた。
respiratory,呼吸の(ための); 呼吸器に関する,As his weight increased; so did his respiratory problems.,体重増加に伴い彼の呼吸器の問題も悪化した。
sanction,(～に対する)制裁; 認可,The United Nations imposed sanctions against South Africa in 1977.,国連は1977年に南アフリカに対して制裁を科した。
embryo,胚; (受精後8週間以内の)胎児,Human embryos take eight weeks to develop into a foetus.,人間の胚は8週間かけて胎児に成長する。
gifted,天分のある; 優れた才能のある,The mathematician had attended a school for gifted children.,その数学者は英才児のための学校に通っていた。
martial,戦争の; 軍人の; 軍隊の,The president declared a state of martial law.,大統領は戒厳令を発令した。
metabolism,新陳代謝; 代謝作用,As people age; their metabolism generally slows down.,加齢とともに新陳代謝は一般に低下する。
pharmaceutical,製薬の; 薬剤の; 薬学の,Pharmaceutical research requires both money and time.,製薬の研究は費用と時間の両方を必要とする。
maximise,を最大限に増やす[活用する],What is the best way to maximise one's happiness?,幸福を最大限にするための最良の方法は何だろうか。
curator,学芸員; キュレーター,The museum's curators were all specialists in art.,その美術館の学芸員は皆，美術の専門家だった。
ion,イオン,Positive ions were attracted by the negative charge.,プラスのイオンはマイナスの電荷に引き寄せられた。
recourse,(～を)頼りにすること; (～に)力を借りること,The students were unable to answer without recourse to dictionaries.,生徒たちは辞書に頼ることなしに解答することはできなかった。
visibility,視界; 視界; 目に見えること,Visibility became extremely low in the fog.,霧で視界が極度に悪くなった。
ore,鉱石,Australia is well-known for its abundance of iron ore.,オーストラリアは鉄鉱石が豊富なことでよく知られている。
untouched,触れられていない; 手[口]を付けていない,Machu Picchu was left untouched for centuries.,マチュピチュは何世紀も誰にも触れられないままだった。
cohesion,結束; 結合性,The policy was designed to promote social cohesion.,その政策は社会の結束を促進することを意図したものだった。
sizeable,かなり大きい; 相当の; かなりの,A sizeable majority voted in favour of the motion.,相当な多数がその動議に賛成票を投じた。
tuition,指導; 授業,Tuition fees at private universities are usually very high.,私立大学の授業料は普通，非常に高い。
arthritis,関節炎,The pain from arthritis worsened as the patient grew older.,年を取るにつれてその患者の関節炎の痛みは悪化した。
upbringing,(子供の)養育; 教育; しつけ,Our upbringing affects the way we view our world.,親のしつけが私たちの世界観に影響する。
congestion,密集; 混雑,Traffic congestion is a major issue in big cities.,大都市では交通渋滞は重大な問題だ。
repetitive,繰り返しの(多い); 長期的な,Many factory workers were bored by their repetitive jobs.,多くの工場労働者は反復的な仕事にうんざりしていた。
abstraction,抽象概念,In textbooks; concrete examples are usually preferable to abstractions.,教科書では，抽象概念よりも具体的な例の方が通常好ましい。
brittle,堅くてもろい; 砕けやすい,Metals become more brittle when it is cold.,金属は冷たいとよりもろくなる。
hormone,ホルモン,Growth hormone is the key to slowing the aging process.,成長ホルモンは老化のプロセスを遅らせるための鍵である。
rift,裂け目; 割れ目,The stars were visible through a rift in the clouds.,雲の切れ目から星が見えた。
intuitive,直観による; 直感的な; 勘の鋭い,The young entrepreneur had an intuitive understanding of business.,その若い起業家はビジネスが何であるかを直観的に理解していた。
zinc,亜鉛,The symbol of zinc in the periodic table is Zn.,周期表における亜鉛の記号はZnである。
pneumonia,肺炎,Pneumonia is especially dangerous to elderly people.,肺炎は特に高齢者にとって危険だ。
perimeter,周囲; 周囲の長さ,There was a tall fence surrounding the perimeter of the prison ground.,その刑務所の敷地の周囲は高いフェンスに囲まれていた。
airborne,飛んでいる; 風媒の; 空輸の,Flying fish can remain airborne for over 40 seconds.,トビウオは40秒以上空中にとどまることができる。
sperm,精液,The doctor injected the husband's sperm into the wife's egg.,医師は夫の精液を妻の卵子に注入した。
barrage,集中砲火,The soldiers fired a barrage of shots at their enemies.,兵士たちは敵に射撃の集中砲火を浴びせた。
ludicrous,ばかげた; 常軌を逸した,It is ludicrous to take the examination without any preparation.,全く準備しないでその試験を受けるのはばかげている。
mundane,ありきたりの; 日常の; 世俗的な,Bear in mind that most jobs have their mundane aspects.,ほとんどの仕事にはありきたりな側面があることを肝に銘じなさい。
backdrop,(事件などの)背景,Sales increased against the backdrop of an economic recovery.,景気の回復を背景に売り上げが伸びた。
retrieve,を取り戻す; 回収する,The police retrieved a weapon from the pond.,警察はその池から凶器を回収した。
transient,一時的な; つかの間の; その場限りの,The current market conditions are transient and will change soon.,現在の市況は一時的なものですぐに変わるだろう。
envisage,を心に描く; 想像する; を予想する,The actual building was different from what the architect envisaged.,実際の建物は，その建築家が想像していたものとは違っていた。
continuum,連続(体),The process of language acquisition is a continuum.,言語習得の方法は途切れなく続けることだ。
perverse,道理から外れた; 倒錯した,The radical philosopher was accused of using a perverse logic.,その過激な哲学者は倒錯した論理を用いたと非難された。
residue,残り(物); 残余,After the floods; a residue of mud lay in the streets.,洪水の後，通りには泥が残っていた。
exodus,大移動; 大量出国,The great earthquake caused an exodus of people from the area.,巨大地震はその地域からの人々の大移動を引き起こした。
wedge,くさび,Wedge-shaped letters are among the earliest forms of writing.,くさび形文字は最も初期の文字の 1つだ。
meagre,乏しい; 貧弱な; 少な過ぎる,The caretaker's salary was a meagre £100 per week.,その管理人の給料は週給わずか 100ポンドであった。
bout,(活動・仕事などの)一期間,The winter began with a bout of freezing weather.,その冬の始まりは凍える天候がしばらく続いた。
fuse,を融合させる,The band's music fuses blues with rock.,そのバンドの音楽はブルースとロックを融合している。
entail,を(必然的に)伴う,Studying abroad entails enduring a bit of culture shock.,留学は少々のカルチャーショックに耐えることを伴う。
fracture,割れ目; 裂け目; 骨折,Fractures in tectonic plates can cause earthquakes.,構造プレートの割れ目が地震を引き起こすことがある。
leisurely,のんびりとした,The research continued at a leisurely pace.,研究はのんびりしたベースで続いた。
operative,機能[作用]している,The company's computer systems were not fully operative.,その会社のコンピューターシステムは完全には機能していなかった。
unnoticed,目立たない; 気付かれない,The theft of the documents had gone unnoticed for years.,その書類の盗難は何年も気付かれないままだた。
chant,詠唱歌; 題目,The monks began singing an early-morning chant.,修道士たちは早朝の詠唱歌を歌い始めた。
yeast,イースト; 酵母(菌),Be careful not to put too much yeast in when you bake bread.,パンを焼くときはイーストを入れ過ぎないよう気を付けなさい。
cosmic,宇宙の,Cosmic noise refers to radio waves from outer space.,宇宙雑音とは宇宙からの電波のことを指す。
discrepancy,(〜の間の)不一致; 相違; 矛盾,There was a discrepancy between the suspect's and victim's accounts.,容疑者の説明と被害者の説明の間には相違があった。
empress,女帝; 皇后,Queen Victoria was also the Empress of India.,ビクトリア女王はインドの女帝でもあった。
vaccine,ワクチン,Many elderly people receive a flu vaccine in winter.,多くの高齢者は冬にインフルエンザワクチンの接種を受ける。
feat,偉業; 功績; 手柄; 離れ業,His athletic feats were truly remarkable.,彼のスポーツにおける偉業は本当に素晴らしかった。
distaste,(〜への)(軽い)嫌悪,The comedian's racial jokes aroused distaste in the audience.,そのコメディアンの人種差別的なジョークは観客の嫌悪感を招いた。
cod,タラ,Cod is traditionally used in fish and chips.,フィッシュアンドチップスには伝統的にタラが使われる。
placebo,偽薬,Many vitamin drinks produce a placebo effect.,多くのビタミンドリンクには偽薬効果がある。
womb,子宮,The ultrasound scan showed the baby in the womb.,超音波スキャンが子宮内の赤ん坊を映した。
monumental,不朽[不滅]の; 記念碑的な,The huge dictionary was hailed as a monumental achievement.,その大部の辞書は不朽の業績とたたえられた。
calibre,器量; 力量; 優秀さ,The firm recruited many high-calibre employees.,その企業は能力の高い従業員を数多く募集した。
alight,燃えて,The gardener set the pile of dry leaves alight.,庭師は枯葉の山に火をつけた。
relentless,情け容赦ない; 手厳しい; 執拗な,The media was relentless in criticising the prime minister.,メディアは容赦なく首相を批判した。
mole,モグラ,A mole raised its head from behind the mound.,1匹のモグラが小山の後ろから顔を出した。
reflex,反射作用; 反射神経,The player showed off his lightning fast reflexes.,その選手は電光石火の素早い反射神経を見せつけた。
catalyst,触媒; 触発するもの,Food shortages were a major catalyst in the revolution.,食糧不足がその革命を主に触発するものとなった。
tuberculosis,結核,Tuberculosis was a major public health issue in the 1800s.,1800年代，結核は主要な公衆衛生問題だった。
sprint,短距離競走; 全力疾走,The American athlete won five gold medals in sprint.,そのアメリカのアスリートは短距離走で 5つの金メダルを取った。
antiquity,古代,The museum had many priceless scrolls from antiquity.,その博物館は古代の極めて貴重な巻物を多数所蔵していた。
courier,運搬人; 急送便会社[業者],The parcel was delivered quickly by courier.,その小包は宅配便ですぐに配達された。
herring,ニシン; ニシン科の魚,Smoked herring with lemon juice is an appetising French starter.,レモン汁であえた薫製ニシンは食欲をそそるフランス料理の前菜だ。
revert,(元の状態に)戻る; 返る,The students soon reverted to using their own language.,学生たちはすぐに自分たちの言語を使うようになった。
resonance,反響; 響き; 余韻,The word 'home' has a special resonance in English.,'home'という語は英語では特別な響きがある。
proxy,代わりとなるもの; 代理,The vice-president acted as a proxy for his chief.,副社長は上司の代わりを務めた。
porcelain,磁器; 磁器製品,The fine porcelain mugs shattered when they hit the floor.,その見事な磁器のマグカップは床に落ちて粉々になった。
precarious,不安定な; 心もとない; 当てにならない,Many part-time jobs are precarious.,パートの仕事の多くは不安定である。
